TcvrId,TcvrLaneIdList,PimId,AccessControllerId,AccessControlType,ResetPath,ResetMask,ResetHoldHi,PresentPath,PresentMask,PresentHoldHi,IoControllerId,IoControlType,IoPath,LedId,LedBluePath,LedYellowPath
1,,1,accessController-1,CPLD,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_config_0,1,0,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_status_0,2,0,ioController-1,I2C,/dev/i2c-21,,,,
2,,1,accessController-2,CPLD,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_config_1,1,0,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_status_1,2,0,ioController-2,I2C,/dev/i2c-22,,,,
3,,1,accessController-3,CPLD,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_config_2,1,0,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_status_2,2,0,ioController-3,I2C,/dev/i2c-23,,,,
4,,1,accessController-4,CPLD,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_config_3,1,0,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_status_3,2,0,ioController-4,I2C,/dev/i2c-24,,,,
5,,1,accessController-5,CPLD,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_config_4,1,0,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_status_4,2,0,ioController-5,I2C,/dev/i2c-25,,,,
6,,1,accessController-6,CPLD,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_config_5,1,0,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_status_5,2,0,ioController-6,I2C,/dev/i2c-26,,,,
7,,1,accessController-7,CPLD,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_config_6,1,0,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_status_6,2,0,ioController-7,I2C,/dev/i2c-27,,,,
8,,1,accessController-8,CPLD,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_config_7,1,0,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_status_7,2,0,ioController-8,I2C,/dev/i2c-28,,,,
9,,1,accessController-9,CPLD,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_config_8,1,0,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_status_8,2,0,ioController-9,I2C,/dev/i2c-29,,,,
10,,1,accessController-10,CPLD,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_config_9,1,0,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_status_9,2,0,ioController-10,I2C,/dev/i2c-30,,,,
11,,1,accessController-11,CPLD,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_config_10,1,0,/sys/bus/i2c/devices/2-0032/cpld_qsfpdd_port_status_10,2,0,ioController-11,I2C,/dev/i2c-31,,,,
