Port_Speed(mbps),A_CHIP_TYPE,Z_CHIP_TYPE,NUM_LANES,Modulation,FEC,MEDIA_TYPE,A_Interface_Type,Z_Interface_Type
800000,NPU,TRANSCEIVER,8,PAM4,RS544_2N,OPTICAL,SR8,,,,,
400000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,OPTICAL,SR4,,,,,
200000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,OPTICAL,SR4,,,,,
100000,NPU,TRANSCEIVER,1,PAM4,RS544,OPTICAL,SR,,,,,
100000,NPU,TRANSCEIVER,4,NRZ,RS528,OPTICAL,SR4,,,,,
50000,NPU,TRANSCEIVER,2,NRZ,RS528,OPTICAL,SR2,,,,,
25000,NPU,TRANSCEIVER,1,NRZ,NONE,OPTICAL,SR,,,,,
10000,NPU,TRANSCEIVER,1,NRZ,NONE,OPTICAL,SR,,,,,
800000,NPU,TRANSCEIVER,8,PAM4,RS544_2N,COPPER,CR8,,,,,
400000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,COPPER,CR4,,,,,
200000,NPU,TRANSCEIVER,2,PAM4,RS544,COPPER,CR2,,,,,
200000,NPU,TRANSCEIVER,4,PAM4,RS544_2N,COPPER,CR4,,,,,
100000,NPU,TRANSCEIVER,1,PAM4,RS544,COPPER,CR,,,,,
100000,NPU,TRANSCEIVER,2,PAM4,RS544,COPPER,CR2,,,,,
100000,NPU,TRANSCEIVER,4,NRZ,RS528,COPPER,CR4,,,,,
100000,NPU,TRANSCEIVER,4,NRZ,NONE,COPPER,CR4,,,,,
50000,NPU,TRANSCEIVER,1,PAM4,RS544,COPPER,CR,,,,,
50000,NPU,TRANSCEIVER,2,NRZ,RS528,COPPER,CR2,,,,,
50000,NPU,TRANSCEIVER,2,NRZ,NONE,COPPER,CR2,,,,,
25000,NPU,TRANSCEIVER,1,NRZ,NONE,COPPER,CR,,,,,
25000,NPU,TRANSCEIVER,1,NRZ,RS528,COPPER,CR,,,,,
10000,NPU,TRANSCEIVER,1,NRZ,NONE,COPPER,CR,,,,,
